I, [2019-08-16T08:21:22.915765 #17640]  INFO -- Kitchen: -----> Starting Kitchen (v2.2.5)
E, [2019-08-16T08:21:22.916562 #17640] ERROR -- Kitchen: ------Exception-------
E, [2019-08-16T08:21:22.916774 #17640] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-08-16T08:21:22.916924 #17640] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/AKoyuncu/Engineering3637/InfrastructureAsCode/Day5/cookbooks/new_vagrant_chef/kitchen.yml does not exist.
E, [2019-08-16T08:21:22.917113 #17640] ERROR -- Kitchen: ----------------------
E, [2019-08-16T08:21:22.917241 #17640] ERROR -- Kitchen: ------Backtrace-------
E, [2019-08-16T08:21:22.917422 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-08-16T08:21:22.918436 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:152:in `data'
E, [2019-08-16T08:21:22.918541 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:131:in `suites'
E, [2019-08-16T08:21:22.918653 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-08-16T08:21:22.918799 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-08-16T08:21:22.918955 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:117:in `instances'
E, [2019-08-16T08:21:22.919079 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-08-16T08:21:22.919195 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-08-16T08:21:22.919262 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:40:in `block in call'
E, [2019-08-16T08:21:22.919327 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2019-08-16T08:21:22.919400 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:38:in `call'
E, [2019-08-16T08:21:22.919564 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:52:in `perform'
E, [2019-08-16T08:21:22.919706 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:245:in `test'
E, [2019-08-16T08:21:22.919852 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-08-16T08:21:22.920035 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-08-16T08:21:22.920128 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-08-16T08:21:22.920283 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-08-16T08:21:22.920347 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `block in <top (required)>'
E, [2019-08-16T08:21:22.920444 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-08-16T08:21:22.920580 #17640] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `<top (required)>'
E, [2019-08-16T08:21:22.920714 #17640] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `load'
E, [2019-08-16T08:21:22.920922 #17640] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `<main>'
E, [2019-08-16T08:21:22.921322 #17640] ERROR -- Kitchen: ----End Backtrace-----
